id,会社名,通称・旧社名,本社所在地,展開エリア,拠点数,規模区分(大/中/小),メガ系列(有/無/系列名),セグメント(A/B/C/D),主要取扱メーカー,TOKIO取扱(○/×/不明),公式URL,問い合わせフォームURL,メールアドレス,電話番号,推奨送信方法(メール/フォーム/電話),優先度(1-3),送信予定日,送信済,返信,備考
KH07,株式会社カミシマ,,富山県高岡市木津新1589,富山県,1,小,要確認,C,要確認,不明,https://kamishima-beauty.com/,要確認（kamishima-beauty.com/entry/ はエントリー用）,,0766-22-3105,電話,3,,,,"取得不可（kamishima-beauty.com が遮断）。追加調査（富山）。昭和24年創業、約70年の富山県地域密着ディーラー。メニュー提案・技術フォロー・販促サポート・開業支援あり。根拠: kamishima-beauty.com/, salesnow.jp/db/companies/jcbvn96aascs1gtdd"
TK01,株式会社ルフト,LUFT／PRESS!!!（project-luft.com）,愛知県名古屋市中区千代田3-18-24,東海（愛知・岐阜・三重・静岡）・長野・関西／関連会社ルフト北陸（富山・石川）／Web注文で全国配送,5,中,無（独立系・要確認）,D,要確認（サポートメーカーリンクページあり project-luft.com/company/maker）,不明,http://luft-ltd.jp/,要確認,n.mori@luft-ltd.jp,要確認,メール,1,,,,"取得不可（luft-ltd.jp/project-luft.com 共に egress 403）。メールは検索エンジンのスニペット（luft-ltd.jp 会社案内）で確認したのみで実ページ未閲覧のため送信前に要再確認。拠点=名古屋本社・名古屋スタジオ・浜松支店・関西支店(大阪)・物流センター(小牧)。別会社ルフト北陸(luft-hokuriku.com 富山本社 076-461-7603・金沢)。EC: ec-luft.com。創業1948年・代表 村瀬信幸・資本金1,000万円。根拠: project-luft.com/company"
TK02,株式会社ツキヤマ,,愛知県豊田市田代町8-25-1,愛知・岐阜・三重・静岡（三河拠点）,要確認,要確認,無（要確認）,A,COTA／ナプラ／デミ／ロレアル／リスペクツ／ヴォヤージュ,不明,https://e-tsukiyama.co.jp/,https://e-tsukiyama.co.jp/contact/,,0565-71-2011,フォーム,1,,,,"取得不可（e-tsukiyama.co.jp egress 403）。フォーム・LINE問い合わせありと検索結果に記載。受付9:00〜17:30。ツキヤマ･アーティスティック･センター（研修施設）あり。根拠: e-tsukiyama.co.jp/company/, /contact/、新美容出版記事"
TK03,ミズノ株式会社,Salon Service Company MIZUNO／Me STORE（会員制EC）,愛知県名古屋市中区大須2-3,愛知・岐阜・静岡,6,中,無（要確認）,D,要確認,不明,https://sss-mizuno.co.jp/,要確認,,要確認,フォーム（要確認）,1,,,,"取得不可（sss-mizuno.co.jp egress 403）。拠点=名古屋本社・三河支店(岡崎)・岐阜営業所・商品管理部(名古屋)・B-ZONE名古屋(大須)・ミズノ静岡(株)。創業140年超・資本金1,000万円・代表 水野雅毅・従業員42名(SalesNow)。EC: mestore.sss-mizuno.co.jp。注意: 株式会社みずの(mizuno-beauty.co.jp)は別会社。根拠: sss-mizuno.co.jp/html/company/"
TK04,美容商事アイチ株式会社,,愛知県名古屋市名東区高針台1-301,要確認,要確認,小,無,C,要確認,不明,無（公式サイト未確認）,無,,0120-114-727,電話,3,,,,"要確認：gBizINFO（法人番号7180001002814）で登記記録が閉鎖（清算の結了等）と表示。廃業済みの可能性が高く送付対象から除外を推奨。設立1978年・従業員2〜10名(LinkedIn)。根拠: info.gbiz.go.jp, itp.ne.jp"
TK05,株式会社リズムコーポレーション,,愛知県刈谷市一ツ木町2-7-25,東海地区,1,小,無,C,ホーユー／ウエラ プロフェッショナル,不明,https://www.rizumuco.jp/,https://www.rizumuco.jp/contact,,0566-23-0352,フォーム,2,,,,"取得不可（rizumuco.jp egress 403）。FAX 0566-23-3303。創業30年余。サロンコンサル・セミナー事業併営。注意: 株式会社リズム(rizumu.co.jp)は別会社。根拠: rizumuco.jp/company-info, /manufacturer"
TK06,株式会社n.b.e,nbe／n.entrepot（エヌアントルポ・サロン専用EC）,愛知県名古屋市西区香呑町3-27,愛知・岐阜・三重（中部エリア）,要確認,要確認,無（要確認）,D,要確認（ヘアカラー・ヘアケア中心）,不明,https://nbe-japan.com/,要確認,,052-532-3225,電話（フォーム要確認）,2,,,,"取得不可（nbe-japan.com egress 403）。FAX 052-529-1288。EC: nbe-entrepot.shop。注意: 株式会社NBE(nbe.co.jp)・株式会社エヌビーイー(新宿・ビル管理)は別会社。根拠: nbe-japan.com, nbe-trading-firm.business.site"
TK07,三栄美容株式会社,,愛知県名古屋市瑞穂区鍵田町2-47,東海地方,1,小,無,C,COTA／美髪矯正ウラノス／GLTドクターヒート（正規代理店）,不明,https://saneibiyou.com/,要確認（メール・LINE問い合わせ有りとの記載）,,052-853-5881,フォーム（要確認）,2,,,,"取得不可（saneibiyou.com egress 403）。受付9:00〜16:00（土日祝除く）。設立1963年8月・資本金3,600万円・代表 西本幸右。根拠: saneibiyou.com/gaiyou/"
TK08,株式会社ガモウリッタ（GAMO RITTA）,旧 株式会社小林美材商社（2021年9月改称）,愛知県名古屋市守山区金屋2-381（旧本社: 春日井市柏井町1-91）,愛知（名古屋・尾張）,要確認,要確認,ガモウグループ（2020年4月〜）,C,要確認（ガモウ系）,不明,https://gamoritta.jp/,要確認,,052-778-8095,電話,3,,,,"取得不可（kobayashibizai.co.jp DNS解決不可、gamoritta.jp 未取得）。旧TEL 0568-31-8095。FAX 052-737-2096。創業1959年。ガモウ系列のため本部方針の確認推奨。根拠: hairmode.jp/news/mm29148/, boblog.tv, gamo.co.jp/about/profile/group/"
TK09,アイビックス株式会社,IBX,岐阜県大垣市三本木2-10,岐阜県,1,小,無,C,デミ（取扱代理店掲載）／他 要確認,不明,https://ibx-co.com/,要確認,,0584-73-1515／0120-37-1516,電話,2,,,,"取得不可（ibx-co.com egress 403）。FAX 0584-73-1290。代表 伊藤直美（女性代表）。住所表記は「三本木2-10」と「三本木3丁目2番地」の2通りあり要確認。根拠: ibx-co.com, ibx-co.hp4u.jp/corporation, demi.nicca.co.jp 代理店一覧"
TK10,株式会社ビューティ,ピュア販売静岡,静岡県浜松市中央区早出町223-7,静岡県西部,1,小,無,C,70社以上取扱（詳細 要確認）,不明,https://pure-shizuoka-beauty.com/,要確認,,要確認,電話,2,,,,"取得不可（pure-shizuoka-beauty.com egress 403）。創業1976年。技術・経営セミナー併営。Instagram @shizuoka.beauty.co（代表キシタ）。注意: 株式会社ビューティースマイル(浜松)は別会社。根拠: pure-shizuoka-beauty.com/company/, /manufacturer/, itp.ne.jp"
TK11,有限会社トワニ美容商事,,三重県松阪市嬉野中川新町3-48,三重県全域,1,小,無,C,デミ／ハラ／ジュエル・コスメティックス（各社代理店一覧掲載）,不明,無（公式サイト未確認）,無,,0598-42-5102,電話,3,,,,"公式サイトは検索で見つからず（法人番号6190002015369）。FAX 0598-42-5139。根拠: mapion, itp.ne.jp, demi.nicca.co.jp, hara-beauty.jp/dealer/, jewel-cosme.jp"
KN01,株式会社ヤマモト高陽,KOYO（KOYO-FC）,滋賀県栗東市北中小路5-2,近畿中心（滋賀・大阪・三重）,6,中,無（推定・独立系）,A,ウエラ／ミルボン／ナプラ／ナンバースリー／ナカノ／ヘンケル／資生堂プロ（60社以上と提携）,不明,https://www.yamamotokoyo.com/,https://www.yamamotokoyo.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B,,彦根営業所 0749-25-2140／大阪営業所 06-6155-1220（本社番号は要確認）,フォーム,1,,,,取得不可（公式サイト・第三者サイトともegress遮断のため検索スニペットのみで記載）。拠点=本社＋彦根営業所（彦根市野口町）＋大阪営業所（豊中市上新田）＋FC3（三重・都島・藤井寺）。1983年設立。ロイヤリティ0円のディーラーFC「KOYO-FC」を展開、セミナー・販促制作あり。メール記載は未確認。根拠: yamamotokoyo.com検索結果、Baseconnect、engage、note（女性モード社）
KN02,株式会社谷商会,TANI TRADING COMPANY,兵庫県神戸市中央区海岸通2-1-2 共栄ビルディング701,神戸・姫路・大阪（Instagram表記）,要確認,中（推定）,要確認,C,要確認,不明,https://www.kobe-tani.com/,要確認,,078-391-3211,電話,2,,,,取得不可（egress遮断）。会社概要ページ https://www.kobe-tani.com/company/ の存在は検索で確認。経営理念「美しく貢献する」、セミナー運営・開業支援・集客/採用コンサル・SNS支援を実施。日本ヘアケアマイスター協会リストに掲載。取扱メーカー・拠点数・フォーム有無は要確認。根拠: kobe-tani.com検索結果、Compalyze、Instagram @tani_trading_company
KN03,株式会社マックス,美容総合商社マックス（大阪）,大阪府大阪市（詳細要確認）,大阪（推定）,要確認,要確認,要確認,C,要確認,不明,http://osaka-mcs.co.jp/,要確認,,要確認,電話,3,,,,取得不可（egress遮断）。同名企業多数（八尾市の石鹸メーカー soapmax.co.jp、自動車関連 macs.co.jp 等）につき同定は osaka-mcs.co.jp（美容室・理容室・エステ向け総合商社、開業支援・内外装・IT・研修）に限定。LINE公式アカウントあり（page.line.me/pfh7041u）。会社概要ページ http://osaka-mcs.co.jp/company あり。住所・電話・メーカーは要確認
KN04,株式会社タクサム,TAKSAM,大阪府東大阪市（詳細要確認）,関西（大阪・神戸・京都・奈良）・東海,要確認,要確認,要確認,C,要確認,不明,https://www.taksam.jp/,要確認,,要確認,電話,2,,,,取得不可（egress遮断）。「価値創造ディーラー」を標榜、セミナー・イベント告知やメーカー絆会などブログ更新が活発、Instagram @taksam_official 運営。ヘアケア商材販売＋サロン開発トータルプロデュース（OpenWork）。会社概要・問い合わせ・取扱メーカーは要確認。根拠: taksam.jp検索結果、OpenWork、Instagram
KN05,株式会社インテンス,INTENSE／関連会社イフイング（IFING）,大阪府大阪市北区（梅田ツインタワーズ・サウス18F・関西統合拠点）,全国（関西は梅田に統合、他エリア要確認）,要確認,要確認,無（自社グループ：イフイング）,B,要確認（自社関連メーカーIFING製品ほか）,不明,https://intense-z.com/,要確認,,要確認,電話,1,,,,取得不可（egress遮断）。会社情報ページ https://intense-z.com/company/ あり。代表取締役会長 冬廣應尚、社長 冬廣憲二。ディーラー業＋情報システム開発＋イベント企画運営。大阪・心斎橋と京都・四条烏丸の営業所を統合し梅田ツインタワーズ・サウス18階に関西統合拠点を開設（meme mag）。関連会社イフイング（化粧品・医薬部外品メーカー、www.ifing.com）がメーカー機能を担う。採用サイト recruit.intense-z.com。拠点数・電話・メール・フォームは要確認
KN06,株式会社シスカール,CYSCURL,大阪府大阪市東淀川区豊里1-9-19,大阪（推定）,要確認,小（推定）,要確認,C,要確認,不明,http://www.cyscurl.com/,要確認,,06-6327-8364（FAX 06-6327-1466）,電話,3,,,,取得不可（egress遮断）。「より高い技術を求めるサロンスタッフのための総合美容企業」。法人番号8120001051923（化粧品卸売業）。別法人「株式会社シスカールK」（5120001164554）が存在、関係は要確認。アイメディア近畿ディーラー一覧に掲載。根拠: cyscurl.com検索結果、日経COMPASS、iタウンページ、houjin.jp
KN07,有限会社クリエイト・システム,クリエイトシステム,大阪府藤井寺市道明寺1-9-31-109,大阪南河内（推定）,1,小,要確認,C,要確認,不明,要確認（公式サイト未発見）,無,,072-931-3220,電話,3,,,,取得不可（公式サイトが検索で見つからず、電話帳系サイトもegress遮断）。理容・美容機器・用品卸売業（Yahoo!ロコ／iタウンページ／NAVITIME）。ワイマック ジュエル・コスメティックスの取引先ディーラー一覧に掲載。ヤマモト高陽の藤井寺営業所（FC）との関係有無は要確認。根拠: itp.ne.jp/info/274032350134380150/、loco.yahoo.co.jp
KN08,有限会社アルファーキューブ,アルファーキューブ,奈良県北葛城郡広陵町（詳細要確認）,奈良（推定）,1,小,要確認,C,要確認,不明,要確認（公式サイト未発見）,無,,要確認,電話,3,,,,取得不可（公式サイト未発見、e-shops等の電話帳サイトもegress遮断）。理美容機械器具・用品卸（e-shops）。アイメディア近畿ディーラー一覧・ワイマック取引先一覧に掲載。住所番地・電話番号は要確認。根拠: el.e-shops.jp/local/nsh/1192000925.html、kamiu.jp/deel-029/
KN09,株式会社GOROI（ゴロイ商店）,ゴロイ商店／GOROI,和歌山県有田郡湯浅町別所266-1,和歌山（推定）,1,小,要確認,C,要確認,不明,https://www.goroi.jp/,要確認,,0737-63-5656,電話,3,,,,取得不可（egress遮断）。公式サイトは「美容材料、美容室開業総合サイト」を標榜（会社概要 https://www.goroi.jp/cp.htm）。KnockListでは法人名「株式会社ＧＯＲＯＩ」。開業支援・機器販売・セミナー研修を掲載。メール・フォーム・取扱メーカーは要確認。根拠: goroi.jp検索結果、マピオン電話帳、iタウンページ、なび和歌山
CS01,株式会社ミラビス,ミシマ／旧ミシマ株式会社（2023年6月1日社名変更）／ミラビスグループ（ミラビスウエスト・ミラビスイースト・ミラビスソリューション）,広島県福山市沖野上町4-8-23,中国（広島・岡山・島根・山口）／四国（香川・愛媛）／兵庫（姫路）／九州（福岡）／関東（東京）,10,大,無,A,ミルボン／ウエラ／ルベル／アリミノ／ビーエックス／ホーユー／デミ／資生堂プロ／ナンバースリー／ナプラ,不明,https://miravis.co.jp/,https://miravis.co.jp/contact/,,084-922-6081,フォーム,1,,,,"公式サイト直接取得不可（egress遮断）・検索スニペット由来。「ミラビス」はEC/ブランド名ではなく2023/6/1にミシマ(株)から変更した正式社名（持株会社化）。拠点=福山本社・岡山支社・広島支社・松江支社・松山支社・高松支社・山口営業所・姫路営業所・福岡支社・東京支社。取扱メーカーは products.miravis.co.jp/makers/（商品EC/情報サイト）由来。根拠: miravis.co.jp/company/, /sites/, /contact/, shinbiyo.com/spwnews/?p=13242, hairmode.jp/news/mm40767/"
CS02,株式会社マインド.,MIND／マインドグループ（美容専門学校・美容室併営）,広島県広島市中区十日市町2-5-1,中国地方（広島中心）,要確認,小,無,C,要確認,不明,https://mind.ac/,要確認,,082-240-4020,電話,3,,,,"公式サイト直接取得不可（egress遮断）。1986年創業、営業5名・事務4名の小規模ディーラー。電話番号はタウンページ掲載（掲載住所が中区大手町のため本社移転の可能性あり・要確認）。同名の他業種「株式会社マインド」多数のため注意。根拠: mind.ac/about/, townpage.goo.ne.jp matomeid=340962434127441720, baseconnect"
CS03,株式会社井上,井上（いのうえ）／昭和12年創業,岡山県岡山市北区北方3-5-20,岡山・広島・兵庫,要確認,中（推定）,無,C,ルベル／ミルボン／アジュバン,不明,https://inoue-ribiyo.jp/,要確認,,086-232-2233,電話,2,,,,"公式サイト直接取得不可（egress遮断）。理容・美容両方の卸、セミナー・カットスクール等教育事業併営。資本金3,000万円。タカラベルモントとの長期取引あり。営業所数は要確認。根拠: inoue-ribiyo.jp, townpage.goo.ne.jp matomeid=334370624400000899, takarabelmont.co.jp/100th/interview/inoue/"
CS04,株式会社トピーネクスト,TOPYNEXT／旧 株式会社TOPY NEXT／トピー商事岡山支店から2016年9月20日法人化／トピーグループ,岡山県岡山市中区藤崎564-3,岡山・広島・島根（松江）・北海道（札幌）・三重（松阪）・和歌山・京都・福岡,8,中,無（トピーグループ＝トピー商事系、メガ系列外）,A,ミルボン／デミ／ニューウェイジャパン／テクノエイト／ビューティーエクスペリエンス,不明,https://topynext.com/,要確認,,086-201-1224,電話,1,,,,"公式サイト直接取得不可（egress遮断）。「ミルボン販売代理店日本一」を標榜。拠点数は検索スニペット上の拠点列挙から8前後と推定（要確認、topynext.com/corporate/base/ 参照）。LINE公式あり。根拠: topynext.com, topynext.com/corporate/base/, houjin.jp/c/9260001029954"
CS05,株式会社ガモウウェスト,旧 株式会社オーニシ（2024年10月1日社名変更）／GAMO Ouest,岡山県岡山市北区清輝本町8-13,中国・四国,要確認,中（推定）,ガモウ,C,要確認（ガモウグループ取扱に準ずると推定）,不明,https://gamo-ouest.co.jp/,https://gamo-ouest.co.jp/contact/,,086-225-0575,フォーム,2,,,,"公式サイト直接取得不可（egress遮断）。「オーニシ」は2024/10/1に株式会社ガモウウェストへ社名変更済み。ガモウ（東京）の子会社で中国四国エリア担当。定期訪問・プロ専用フロア・トレーニングスタジオを運営。根拠: gamo.co.jp/news/29691/, gamo.co.jp/about/profile/group/024gamo/, gamo-ouest.co.jp/company/, itp.ne.jp/info/334926324400000899/"
CS06,株式会社高松美容,タカビ,香川県高松市鹿角町183-1,香川,1,小,無,C,シュワルツコフ プロフェッショナル／ビーエックス,不明,https://www.k-takabi.com/,要確認（サイト内にメールフォームありとの記載）,,087-866-3600,フォーム,3,,,,"四国追加分。公式サイト直接取得不可（egress遮断）。1970年創業、従業員13名。根拠: k-takabi.com/company.php, k-takabi.com/business.php, gbizinfo 3470001002474"
CS07,株式会社パシオンハマダ,パシオンハマダ,愛媛県松山市保免上1-11-26,愛媛・高知・東京・沖縄・北海道・福岡,6,中,無,A,要確認,不明,https://www.pasionhamada.com/,要確認,,089-943-5615,電話,2,,,,"四国追加分。公式サイト直接取得不可（egress遮断）。1967年設立、資本金3,100万円。拠点=松山本社・東京営業所（渋谷区笹塚）・沖縄営業所（那覇）・高知・北海道・福岡（pasionhamada.com/branch/）。根拠: pasionhamada.com/branch/, itp.ne.jp/info/389890146400000899/, nikkei compass"
CS08,株式会社ハナブサ,ハナブサ,香川県高松市三谷町1848-1,香川・徳島・愛媛・岡山,3,中,無,C,要確認,不明,https://www.e-hanabusa.com/,要確認,,087-899-8723,電話,2,,,,"四国追加分。公式サイト直接取得不可（egress遮断）。1984年設立。拠点=本社（三谷町）・高松営業所（成合町1577-1）・徳島営業所。美容室開業支援・経営コンサル併営。フリーダイヤル0120-108723の掲載あり。根拠: e-hanabusa.com/company/index.html, compalyze.co.jp/company/9470001003392, townpage.goo.ne.jp"
KY01,株式会社コスモ,株式会社COSMO／コスモグループ（コスモホールディングス）,福岡県福岡市南区長丘3-23-33,九州全域（福岡・北九州・熊本ほか）・アジア展開,要確認,大,無（自社グループ：コスモホールディングス／Createion）,A,要確認（モロッカンオイル提携は確認。ミルボン等は要確認）,不明,https://cosmo-beauty.jp/,https://cosmo-beauty.jp/contact/,,092-551-1387,フォーム,1,,,,取得不可（公式サイト・cosmo-group.netともegressプロキシで遮断、検索スニペットで補完）。約50年前に大分県中津市の理容ディーラーとして創業、福岡へ拡大。事業所一覧 https://cosmo-group.net/site/aboutus/listofoffice.html（福岡・北九州・熊本の拠点をInstagram等で確認）。FAX 092-551-7811。代表 貝塚弘幸。グループ問合せ https://cosmo-group.net/site/contact/index.html。拠点数・取扱メーカー要確認。
KY02,タカハシ株式会社,旧・有限会社高橋商店（1942年創業、1991年組織変更）,福岡県福岡市中央区平尾5-5-37,福岡・佐賀・長崎・熊本・大分,3,中,要確認,C,要確認,不明,https://www.takahashi-corporation.jp/,要確認,,092-531-6531,電話,2,,,,"取得不可（公式サイトegressプロキシで遮断、iタウンページ・Baseconnect・検索スニペットで補完）。本社＋佐賀営業所（佐賀市）＋北九州営業所（八幡西区）。従業員20名、資本金1,000万円、代表 髙橋弘司。会社案内 https://www.takahashi-corporation.jp/会社案内/企業概要 。フォーム有無・取扱メーカー要確認。"
KY03,株式会社サトー,サトー（tba-sato）,福岡県飯塚市,福岡・山口・大分・佐賀・長崎・熊本,4,中,要確認,C,要確認,不明,http://tba-sato.co.jp/,要確認,,要確認,電話,2,,,,取得不可（公式サイトegressプロキシで遮断、検索スニペットで補完）。飯塚本社＋久留米・福岡・北九州の各拠点（Facebook https://www.facebook.com/tba.sato/ ）。総合美容ディーラー、セミナー・開業支援・販促物対応。番地・電話・フォーム・取扱メーカー要確認。
KY04,株式会社リリー,リリー美容商会（1959年別府市田の湯町創業）／関連：株式会社リリーWEST（2015年設立・関西）,大分県別府市堀田1組-1（リリーWEST登記住所）,大分・九州（本体）／関西（リリーWEST）,要確認,中,無,C,要確認,不明,https://lily-west.com/,要確認,,要確認,電話,2,,,,取得不可（lily-west.com・e-shops等egressプロキシで遮断、検索スニペットで補完）。e-shops掲載: 株式会社リリー（別府市・理美容機械器具・用品）。創業者 西門義清。別府本体の独自サイト有無・電話・拠点数・取扱メーカー要確認。lily-west.com/about/ に沿革あり。
KY05,有限会社ナカムラ優美堂,ナカムラ優美堂,熊本県熊本市北区大窪1-7-4,熊本県中心・九州,1,小,無,C,要確認,不明,https://k-yubido.co.jp/,要確認,,096-345-7000,電話,3,,,,取得不可（公式サイトegressプロキシで遮断、gooタウンページ・なび熊本・検索スニペットで補完）。1976年創業、従業員6名（役員2名含む）。会社概要 https://k-yubido.co.jp/gaiyo/ 、特商法表記 https://k-yubido.co.jp/hyouki/ （EC有の可能性・要確認）。理念「誠・信・望」。
KY06,株式会社安永,ys-beauty／トータルビューティ研究所,佐賀県小城市小城町,佐賀・福岡・熊本・大阪・東京・神奈川・宮城（仙台）・千葉,要確認,中,無,B,要確認（仏Skin Haptics 日本独占販売・自社商品企画あり）,不明,https://ysb-create.com/,要確認,,要確認,電話,2,,,,取得不可（ysb-create.com・ys-beauty.co.jp・gooタウンページ等egressプロキシで遮断、検索スニペットで補完）。会社情報 https://ysb-create.com/company/ 。旧URL http://ys-beauty.co.jp/ 。創業1871年（明治4年）由来の100年超企業、代表 安永正。サロン事業・スクール（JNA認定ネイル）・国際事業。展開エリアは代表Instagramプロフィールに基づく。拠点数・電話・取扱メーカー要確認。
KY07,株式会社サンビューティナイル,旧・株式会社ネイル商会,沖縄県那覇市泊3-4-14,沖縄県内,1,小,無,C,要確認（取扱ブランドページあり: http://107644-001.akibare.ne.jp/brand ）,不明,https://www.sunbeautynile.com/,要確認,,098-864-1766,電話,2,,,,取得不可（sunbeautynile.com・akibare.ne.jpともegressプロキシで遮断、検索スニペットで補完）。フリーダイヤル 0120-176650。代表取締役 屋比久進。前身ネイル商会から約70年、那覇本社から県内サロンへ配送・経営サポート、経営セミナー開催（ https://www.beauty-business-nile.com/ ）。会社概要 https://www.sunbeautynile.com/company-profile 。
KY08,株式会社玉寄美容商事,旧・合名会社玉寄美容商事（2022年株式会社化）,沖縄県那覇市識名1-1-35,沖縄県内,1,小,無,C,タマリス（沖縄総代理店）／タカラベルモント／レオンカ／フォンテーヌ／ミズタニシザーズ,不明,https://www.big-advance.site/c/172/1285,要確認,,要確認,電話,3,,,,取得不可（big-advance.site・マピオン・ボブログ等egressプロキシで遮断、検索スニペットで補完）。1972年11月設立。法人番号7360003001580。ヘアケア商材卸・セミナー・ワックス商材。会社案内 https://www.big-advance.site/c/172/1285/profile 、Facebook https://www.facebook.com/tamayosebeautycompany/ 。電話・フォーム要確認。
KY09,ソニック（株式会社ソニック）,Sonic,鹿児島県鹿児島市（要確認）,鹿児島,要確認,小,要確認,D,要確認,不明,http://www.sonic-sky.jp/,要確認,,要確認,電話,3,,,,取得不可（公式サイトegressプロキシで遮断、検索スニペットのみ）。鹿児島の美容ディーラー。美容室開業支援・内装工事・HP作成運用・販促支援・スキルアップ支援・美容商材卸。正式社名・所在地・電話・法人格は要確認：同定不十分。追加候補（鹿児島）。
KY10,株式会社NEXT INNOVATION,ネクストイノベーション,鹿児島県霧島市,鹿児島県,要確認,小,要確認,C,要確認,不明,https://www.next-innovation-bs.com/,要確認,,要確認,電話,3,,,,取得不可（公式サイトegressプロキシで遮断、検索スニペットのみ）。「予防美容」コンセプトの理美容ディーラー、セミナー・研修開催。番地・電話・取扱メーカー要確認。追加候補（鹿児島）。長崎・宮崎は検索上限（200回）到達により候補特定できず。
